METRIQLabel,NAACCRCode,FieldName,TableName,PK,PHI,DataType,LookupID-groupID,METRIQFolder,OntologyCategory,Notes,AltLabel-breast,AltLabel-lung
Age at Diagnosis,230,DxAge,TumorExt1a,,,NUMBER,,Primary,Demographics,,,
Alcohol History,,Alcohol,TumorExt13,,,,8005,Primary,Demographics,if patient has 2 diff tumors then you may get 2 differ answers for this field,,
Autopsy,1930,Autopsy,PatientExt1,,,,21,Follow-up+Status,Outcomes,,,
Boost Dose: cGy,3210,RT_BoostDs,Radiation,,,,274,Radiation Extended,Treatment,,,
Boost RT Modality,3200,RT_BoostModality,Radiation,,,,486,Radiation Extended,Treatment,,,
Cancer Status,1770,TumorStatus,TumorExt1b,,,CATEGORY,368,Case Status,Outcomes,,,
Cause of Death,1910,CauseDeath,Tumor,,,CATEGORY,29,Case Status+Follow-Up,Outcomes,related to cancer or not; see ICD Cause of death also,,
Clinical M,960,Clin_M_TNM,TumorExt1b,,,,4031,AJCC+Other Staging,Primary Site+Stage of Disease,,,
Clinical N,950,Clin_N_TNM,TumorExt1b,,,,4021,AJCC+Other Staging,Primary Site+Stage of Disease,,,
Clinical Stage Descriptor,980,ClinTNM_Desc,TumorExt1b,,,,54,AJCC+Other Staging,Primary Site+Stage of Disease,,,
Clinical Stage Group,970,AJCCStageGroupClin,TumorExt1b,,,,,AJCC+Other Staging,Primary Site+Stage of Disease,,,
Clinical T,940,Clin_T_TNM,TumorExt1b,,,,4011,AJCC+Other Staging,Primary Site+Stage of Disease,,,
Comorbid/Compl # 1,3110,Comorbidity1,Tumor,,,,,Primary,Conditions,"recording ICD9 codes based only on surgical admission, may be incomplete. These probably should be collapsed and properly labeled",,
Comorbid/Compl # 10,3164,Comorbidity10,Tumor,,,,,Primary,Conditions,"icd-9; icd revision secondary diagnosis (tells how these are coded 9 vs 10=1, no secondary report =0; secondary diagnosis 1, 2, etc  (these are the icd-10 coded fields)",,
Comorbid/Compl # 2,3120,Comorbidity2,Tumor,,,,,Primary,Conditions,icd-9,,
Comorbid/Compl # 3,3130,Comorbidity3,Tumor,,,,,Primary,Conditions,icd-9,,
Comorbid/Compl # 4,3140,Comorbidity4,Tumor,,,,,Primary,Conditions,icd-9,,
Comorbid/Compl # 5,3150,Comorbidity5,Tumor,,,,,Primary,Conditions,icd-9,,
Comorbid/Compl # 6,3160,Comorbidity6,Tumor,,,,,Primary,Conditions,icd-9,,
Comorbid/Compl # 7,3161,Comorbidity7,Tumor,,,,,Primary,Conditions,icd-9,,
Comorbid/Compl # 8,3162,Comorbidity8,Tumor,,,,,Primary,Conditions,icd-9,,
Comorbid/Compl # 9,3163,Comorbidity9,Tumor,,,,,Primary,Conditions,icd-9,,
CS Extension,2810,CS_Extension,Tumor,,,,4102,Collaborative Staging,Primary Site+Stage of Disease+Collaborative Stage,,,
CS Lymph Nodes,2830,CS_LN,Tumor,,,,4104,Collaborative Staging,Primary Site+Stage of Disease+Collaborative Stage,,,
CS Mets at DX,2850,CS_MetsDX,Tumor,,,,4106,Collaborative Staging,Primary Site+Stage of Disease+Collaborative Stage,for breast (C500-509) there is NO DATA,,
CS Mets at Dx-Bone,2851,CS_Mets_at_Dx_Bone,Tumor,,,,592,Collaborative Staging,Primary Site+Stage of Disease+Collaborative Stage,,,
CS Mets at Dx-Brain,2852,CS_Mets_at_Dx_Brain,Tumor,,,,593,Collaborative Staging,Primary Site+Stage of Disease+Collaborative Stage,,,
CS Mets at Dx-Liver,2853,CS_Mets_at_Dx_Liver,Tumor,,,,594,Collaborative Staging,Primary Site+Stage of Disease+Collaborative Stage,,,
CS Mets at Dx-Lung,2854,CS_Mets_at_Dx_Lung,Tumor,,,,595,Collaborative Staging,Primary Site+Stage of Disease+Collaborative Stage,,,
CS Mets at Dx-Lymph,,Mets_at_Dx_Ln,Tumor,,,,4114,Collaborative Staging,Primary Site+Stage of Disease+Collaborative Stage,new CS Fields started in 2016,,
CS Mets at Dx-Other,,Mets_at_Dx_Oth,Tumor,,,,4115,Collaborative Staging,Primary Site+Stage of Disease+Collaborative Stage,new CS Fields started in 2016,,
CS_SSFactor1,,CS_SSFactor1,Tumor,,,,4108,Collaborative Staging,Primary Site+Stage of Disease+Collaborative Stage,2880,Estrogen Receptor (ER) Assay,Lung Test 1
CS_SSFactor2,,CS_SSFactor2,Tumor,,,,4109,Collaborative Staging,Primary Site+Stage of Disease+Collaborative Stage,2890,Progesterone Receptor (PR) Assay,Lung Test 2
CS_SSFactor3,,CS_SSFactor3,Tumor,,,,4110,Collaborative Staging,Primary Site+Stage of Disease+Collaborative Stage,2900,Number of Positive Ipsilateral Level I-II Axillary Lymph Nodes,Lung Test 3
